@relation documents

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 numeric
@attribute F22 numeric
@attribute F23 numeric
@attribute F24 numeric
@attribute F25 numeric
@attribute F26 numeric
@attribute F27 numeric
@attribute F28 numeric
@attribute F29 numeric
@attribute F30 numeric
@attribute F31 numeric
@attribute F32 numeric
@attribute F33 numeric
@attribute F34 numeric
@attribute F35 numeric
@attribute F36 numeric
@attribute F37 numeric
@attribute F38 numeric
@attribute F39 numeric
@attribute F40 numeric
@attribute F41 numeric
@attribute F42 numeric
@attribute F43 numeric
@attribute F44 numeric
@attribute F45 numeric
@attribute F46 numeric
@attribute F47 numeric
@attribute F48 numeric
@attribute F49 numeric
@attribute F50 numeric
@attribute F51 numeric
@attribute F52 numeric
@attribute F53 numeric
@attribute F54 numeric
@attribute F55 numeric
@attribute F56 numeric
@attribute F57 numeric
@attribute F58 numeric
@attribute F59 numeric
@attribute F60 numeric
@attribute F61 numeric
@attribute F62 numeric
@attribute F63 numeric
@attribute F64 numeric
@attribute relevance {0, 1}

@data
0.015748, 0.066667, 1.000000, 0.000000, 0.015748, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.013066, 0.089440, 1.000000, 0.000000, 0.015748, 0.017068, 0.005000, 0.250000, 0.200000, 0.017217, 0.643508, 0.601078, 0.596904, 0.000000, 0.578896, 0.427577, 0.779662, 0.740477, 0.000000, 0.652249, 0.174208, 0.473133, 0.998849, 0.000000, 0.290156, 0.675880, 0.768365, 0.740789, 0.000000, 0.801851, 0.578884, 0.578884, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.001066, 0.481571, 0.000000, 0.000000, 0.000000, 0.002710, 0.013289, 0.285714, 0.192053, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0
0.125984, 0.000000, 0.000000, 0.000000, 0.110236, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.085455, 0.000000, 0.000000, 0.000000, 0.072120, 0.052209, 0.001250, 0.312500, 0.300000, 0.052224, 0.722304, 0.000000, 0.000000, 0.000000, 0.355616, 0.672308, 0.000000, 0.000000, 0.000000, 0.628496, 0.572370, 0.000000, 0.000000, 0.000000, 0.508115, 0.758886, 0.000000, 0.000000, 0.000000, 0.756449, 0.355615, 0.355615, 0.168056, 0.741259, 0.338421, 0.601677, 0.666408, 0.593332, 0.006396, 0.860930, 0.001439, 0.067151, 0.000000, 0.007337, 0.054539, 0.002710, 0.076412, 0.285714, 0.198675, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0
0.440945, 0.000000, 0.000000, 0.000000, 0.425197, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.300456, 0.000000, 0.000000, 0.000000, 0.286345, 0.530838, 0.005000, 0.250000, 0.300000, 0.531277, 0.559387, 0.000000, 0.000000, 0.000000, 0.060835, 0.546901, 0.000000, 0.000000, 0.000000, 0.517149, 0.730224, 0.000000, 0.000000, 0.000000, 0.690737, 0.506886, 0.000000, 0.000000, 0.000000, 0.507810, 0.060869, 0.060869, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.005769, 0.480709, 0.000000, 0.000000, 0.000000, 0.005420, 0.019934, 0.285714, 0.238411, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0
0.039370, 0.066667, 1.000000, 0.000000, 0.039370, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.039477, 0.089440, 1.000000, 0.000000, 0.042093, 0.017785, 0.003750, 0.250000, 0.200000, 0.017791, 0.664674, 0.693264, 0.596904, 0.000000, 0.310459, 0.419053, 0.825383, 0.740477, 0.000000, 0.427578, 0.305225, 0.473354, 0.998849, 0.000000, 0.274812, 0.193492, 0.816433, 0.740789, 0.000000, 0.222845, 0.310311, 0.310311, 0.158545, 0.745192, 0.320541, 0.597953, 0.873621, 0.833862, 0.005258, 0.282751, 0.000368, 0.378020, 0.000000, 0.000000, 0.000000, 0.002710, 0.036545, 0.428571, 0.211921, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0
0.023622, 0.066667, 0.000000, 0.000000, 0.015748, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.023686, 0.089440, 0.000000, 0.000000, 0.018471, 0.012048, 0.003750, 0.000000, 0.300000, 0.011621, 0.619114, 0.693264, 0.000000, 0.000000, 0.228979, 0.393879, 0.825383, 0.000000, 0.000000, 0.400617, 0.213198, 0.473354, 0.000000, 0.000000, 0.158295, 0.170702, 0.816433, 0.000000, 0.000000, 0.192704, 0.228835, 0.228834, 0.150701, 0.730332, 0.259049, 0.563658, 0.937492, 0.725085, 0.000568, 0.257011, 0.002830, 0.371507, 0.000000, 0.001313, 0.090196, 0.001355, 0.013289, 0.428571, 0.205298, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0
0.141732, 0.066667, 1.000000, 0.000000, 0.141732, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.095797, 0.065040, 0.686604, 0.000000, 0.092726, 0.067269, 0.008750, 0.375000, 0.400000, 0.068436, 0.685674, 0.312455, 0.323029, 0.000000, 0.295943, 0.623013, 0.278028, 0.095100, 0.000000, 0.594773, 0.579030, 0.002203, 0.001531, 0.000000, 0.538777, 0.711527, 0.240211, 0.095490, 0.000000, 0.720639, 0.295937, 0.295937, 0.153348, 0.715035, 0.634104, 0.575167, 0.644260, 0.733176, 0.001534, 0.475221, 0.002938, 0.374757, 0.000000, 0.001115, 0.004574, 0.001355, 0.079734, 0.428571, 0.311258, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0
0.055118, 0.000000, 0.000000, 0.000000, 0.039370, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.038919, 0.000000, 0.000000, 0.000000, 0.025757, 0.062106, 0.000000, 0.312500, 0.400000, 0.062123, 0.612167, 0.000000, 0.000000, 0.000000, 0.150909, 0.486208, 0.000000, 0.000000, 0.000000, 0.453774, 0.392151, 0.000000, 0.000000, 0.000000, 0.301238, 0.595761, 0.000000, 0.000000, 0.000000, 0.592068, 0.150948, 0.150948, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.372964, 0.000000, 0.000000, 0.000000, 0.000000, 0.013289, 0.428571, 0.298013, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0
0.031496, 0.000000, 0.000000, 0.000000, 0.015748, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.026132, 0.000000, 0.000000, 0.000000, 0.013025, 0.067556, 0.008750, 0.437500, 0.300000, 0.068723, 0.581325, 0.000000, 0.000000, 0.000000, 0.086987, 0.475850, 0.000000, 0.000000, 0.000000, 0.440150, 0.336695, 0.000000, 0.000000, 0.000000, 0.235948, 0.522261, 0.000000, 0.000000, 0.000000, 0.513785, 0.087079, 0.087079, 0.128934, 0.605332, 0.327519, 0.466753, 0.556655, 0.477722, 0.001503, 0.253554, 0.002320, 0.481886, 0.000000, 0.000936, 0.000723, 0.004065, 0.089701, 0.285714, 0.251656, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0
0.527559, 0.000000, 0.000000, 0.000000, 0.511811, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.370957, 0.000000, 0.000000, 0.000000, 0.356624, 0.862593, 0.002500, 0.187500, 0.100000, 0.862410, 0.567959, 0.000000, 0.000000, 0.000000, 0.080818, 0.555904, 0.000000, 0.000000, 0.000000, 0.526275, 0.775825, 0.000000, 0.000000, 0.000000, 0.743714, 0.500710, 0.000000, 0.000000, 0.000000, 0.502140, 0.080906, 0.080906, 0.133444, 0.618444, 0.294374, 0.475767, 0.498779, 0.377456, 0.002614, 0.509028, 0.033502, 0.630288, 0.019871, 0.000000, 0.000000, 0.001355, 0.102990, 0.142857, 0.132450, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0
0.070866, 0.000000, 0.000000, 0.000000, 0.055118, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.054710, 0.000000, 0.000000, 0.000000, 0.041505, 0.177711, 0.067500, 0.250000, 0.100000, 0.184935, 0.538016, 0.000000, 0.000000, 0.000000, 0.000968, 0.484364, 0.000000, 0.000000, 0.000000, 0.446119, 0.488613, 0.000000, 0.000000, 0.000000, 0.405774, 0.471299, 0.000000, 0.000000, 0.000000, 0.459928, 0.001080, 0.001079, 0.135405, 0.556818, 0.255997, 0.474634, 0.479298, 0.359825, 0.017161, 0.566654, 0.006985, 0.483502, 0.000000, 0.034361, 0.063313, 0.027100, 0.122924, 0.285714, 0.099338, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0
0.055118, 0.066667, 1.000000, 1.000000, 0.062992, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.038919, 0.065040, 0.686604, 0.542112, 0.041211, 0.020224, 0.006250, 0.312500, 0.600000, 0.021234, 0.816022, 0.385799, 0.361291, 0.352892, 0.556647, 0.781088, 0.331256, 0.129100, 0.036750, 0.768914, 0.442484, 0.002645, 0.001914, 0.000458, 0.441524, 0.870102, 0.296419, 0.129574, 0.036829, 0.901093, 0.556622, 0.556622, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.002960, 0.380504, 0.000000, 0.000000, 0.000000, 0.008130, 0.029900, 0.428571, 0.403974, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0
